iter	Passed	Remaining
414	3048	4297
415	3053	4287
416	3060	4279
417	3066	4268
418	3071	4259
419	3079	4252
420	3085	4243
421	3091	4234
422	3097	4224
423	3103	4215
424	3109	4206
425	3114	4197
426	3120	4187
427	3125	4177
428	3130	4167
429	3135	4156
430	3141	4146
431	3145	4136
432	3150	4125
433	3155	4115
434	3160	4105
435	3165	4094
436	3171	4085
437	3176	4075
438	3180	4064
439	3185	4054
440	3191	4045
441	3199	4039
442	3207	4032
443	3213	4023
444	3220	4016
445	3225	4007
446	3231	3998
447	3237	3988
448	3243	3980
449	3249	3971
450	3254	3961
451	3259	3951
452	3268	3947
453	3274	3938
454	3283	3933
455	3290	3925
456	3296	3917
457	3303	3909
458	3308	3900
459	3315	3891
460	3320	3881
461	3324	3871
462	3330	3862
463	3335	3852
464	3340	3843
465	3345	3833
466	3350	3824
467	3355	3814
468	3360	3804
469	3365	3794
470	3369	3784
471	3374	3775
472	3379	3765
473	3384	3755
474	3389	3745
475	3394	3736
476	3399	3727
477	3404	3717
478	3409	3708
479	3414	3698
480	3419	3689
481	3424	3679
482	3428	3670
483	3433	3660
484	3438	3650
485	3443	3642
486	3449	3633
487	3454	3624
488	3459	3615
489	3464	3605
490	3469	3596
491	3474	3587
492	3479	3578
493	3484	3568
494	3489	3559
495	3494	3550
496	3499	3541
497	3511	3540
498	3516	3530
499	3522	3522
500	3526	3512
501	3531	3503
502	3537	3495
503	3542	3486
504	3546	3476
505	3552	3467
506	3556	3458
507	3561	3449
508	3566	3439
509	3571	3431
510	3575	3421
511	3580	3412
512	3586	3404
513	3591	3395
514	3595	3386
515	3601	3378
516	3606	3369
517	3611	3360
518	3616	3351
519	3621	3342
520	3625	3333
521	3630	3324
522	3635	3315
523	3640	3307
524	3644	3297
525	3650	3289
526	3656	3281
527	3661	3273
528	3667	3265
529	3671	3256
530	3676	3247
531	3682	3239
532	3687	3230
533	3692	3222
534	3697	3213
535	3702	3205
536	3707	3196
537	3712	3188
538	3717	3179
539	3721	3170
540	3726	3161
541	3731	3153
542	3736	3144
543	3742	3137
544	3747	3128
545	3753	3120
546	3757	3111
547	3762	3103
548	3767	3095
549	3772	3086
550	3777	3078
551	3782	3069
552	3786	3060
553	3792	3052
554	3797	3044
555	3801	3036
556	3807	3028
557	3812	3019
558	3817	3011
559	3822	3003
560	3827	2995
561	3832	2986
562	3836	2978
563	3841	2969
564	3846	2961
565	3851	2953
566	3856	2944
567	3860	2936
568	3865	2928
569	3870	2919
570	3875	2911
571	3880	2903
572	3885	2895
573	3890	2887
574	3896	2879
575	3901	2871
576	3906	2863
577	3911	2855
578	3915	2847
579	3920	2839
580	3925	2830
581	3930	2822
582	3934	2814
583	3939	2806
584	3944	2798
585	3949	2789
586	3953	2781
587	3958	2773
588	3963	2765
589	3967	2757
590	3973	2749
591	3977	2741
592	3982	2733
593	3987	2725
594	3991	2717
595	3996	2709
596	4001	2701
597	4006	2693
598	4011	2685
599	4016	2677
600	4021	2669
601	4025	2661
602	4031	2654
603	4038	2647
604	4043	2639
605	4048	2632
606	4054	2624
607	4058	2616
608	4064	2609
609	4068	2601
610	4073	2593
611	4079	2586
612	4085	2579
613	4091	2572
614	4097	2565
615	4102	2557
616	4107	2550
617	4113	2542
618	4118	2535
619	4124	2527
620	4129	2520
621	4135	2513
622	4140	2505
623	4145	2498
624	4151	2490
625	4156	2483
626	4161	2475
627	4166	2468
628	4171	2460
629	4177	2453
630	4181	2445
631	4186	2437
632	4192	2430
633	4197	2422
634	4202	2415
635	4207	2408
636	4212	2400
637	4218	2393
638	4223	2385
639	4228	2378
640	4234	2371
641	4239	2364
642	4244	2356
643	4250	2349
644	4256	2342
645	4261	2335
646	4267	2328
647	4272	2320
648	4278	2313
649	4283	2306
650	4289	2299
651	4295	2292
652	4300	2285
653	4306	2278
654	4311	2270
655	4317	2263
656	4322	2256
657	4327	2249
658	4332	2242
659	4338	2234
660	4343	2227
661	4349	2220
662	4354	2213
663	4359	2205
664	4365	2198
665	4370	2191
666	4375	2184
667	4381	2177
668	4386	2170
669	4392	2163
670	4398	2156
671	4403	2149
672	4409	2142
673	4414	2135
674	4419	2128
675	4426	2121
676	4433	2115
677	4438	2107
678	4443	2100
679	4449	2093
680	4454	2086
681	4459	2079
682	4465	2072
683	4471	2065
684	4477	2059
685	4494	2057
686	4500	2050
687	4505	2043
688	4511	2036
689	4517	2029
690	4523	2022
691	4529	2016
692	4535	2009
693	4540	2001
694	4546	1995
695	4551	1988
696	4558	1981
697	4607	1993
698	4614	1986
699	4631	1984
700	4637	1978
701	4643	1971
702	4650	1964
703	4656	1958
704	4663	1951
705	4669	1944
706	4675	1937
707	4681	1930
708	4688	1924
709	4694	1917
710	4704	1912
711	4711	1905
712	4717	1898
713	4724	1892
714	4729	1885
715	4735	1878
716	4742	1871
717	4748	1864
718	4754	1858
719	4760	1851
720	4767	1844
721	4773	1837
722	4779	1831
723	4785	1824
724	4791	1817
725	4797	1810
726	4804	1804
727	4812	1797
728	4818	1791
729	4825	1784
730	4831	1777
731	4836	1770
732	4842	1763
733	4847	1756
734	4853	1749
735	4858	1742
736	4864	1736
737	4870	1728
738	4875	1721
739	4881	1715
740	4887	1708
741	4892	1701
742	4899	1694
743	4905	1687
744	4911	1681
745	4917	1674
746	4922	1667
747	4929	1660
748	4934	1653
749	4940	1646
750	4946	1640
751	4951	1633
752	4956	1625
753	4962	1619
754	4967	1612
755	4974	1605
756	4979	1598
757	4985	1591
758	4991	1584
759	4996	1577
760	5002	1571
761	5008	1564
762	5013	1557
763	5018	1550
764	5024	1543
765	5029	1536
766	5035	1529
767	5042	1523
768	5047	1516
769	5053	1509
770	5059	1502
771	5064	1495
772	5069	1488
773	5075	1482
774	5081	1475
775	5087	1468
776	5093	1461
777	5099	1455
778	5106	1448
779	5111	1441
780	5116	1434
781	5123	1428
782	5129	1421
783	5134	1414
784	5139	1407
785	5145	1400
786	5150	1393
787	5155	1387
788	5161	1380
789	5166	1373
790	5172	1366
791	5177	1359
792	5186	1353
793	5191	1346
794	5197	1340
795	5203	1333
796	5208	1326
797	5214	1320
798	5219	1313
799	5225	1306
800	5231	1299
801	5236	1292
802	5241	1285
803	5247	1279
804	5252	1272
805	5258	1265
806	5263	1258
807	5269	1252
808	5275	1245
809	5281	1238
810	5295	1234
811	5302	1227
812	5307	1220
813	5312	1214
814	5318	1207
815	5323	1200
816	5328	1193
817	5334	1186
818	5339	1180
819	5346	1173
820	5351	1166
821	5356	1160
822	5362	1153
823	5368	1146
824	5373	1139
825	5379	1133
826	5384	1126
827	5389	1119
828	5395	1112
829	5400	1106
830	5406	1099
831	5412	1092
832	5417	1086
833	5422	1079
834	5428	1072
835	5433	1065
836	5438	1059
837	5444	1052
838	5449	1045
839	5455	1039
840	5460	1032
841	5465	1025
842	5471	1018
843	5476	1012
844	5482	1005
845	5488	999
846	5494	992
847	5500	985
848	5506	979
849	5512	972
850	5517	966
851	5523	959
852	5528	952
853	5533	946
854	5539	939
855	5545	932
856	5551	926
857	5556	919
858	5561	912
859	5566	906
860	5572	899
861	5579	893
862	5585	886
863	5591	880
864	5596	873
865	5602	866
866	5607	860
867	5612	853
868	5618	847
869	5623	840
870	5629	833
871	5635	827
872	5641	820
873	5647	814
874	5652	807
875	5657	800
876	5663	794
877	5668	787
878	5674	781
879	5680	774
880	5686	768
881	5692	761
882	5699	755
883	5705	748
884	5711	742
885	5716	735
886	5721	728
887	5727	722
888	5732	715
889	5737	709
890	5743	702
891	5748	696
892	5753	689
893	5759	682
894	5764	676
895	5769	669
896	5775	663
897	5780	656
898	5787	650
899	5793	643
900	5800	637
901	5806	630
902	5813	624
903	5819	617
904	5826	611
905	5832	605
906	5837	598
907	5844	592
908	5849	585
909	5856	579
910	5861	572
911	5866	566
912	5873	559
913	5878	553
914	5885	546
915	5891	540
916	5898	533
917	5904	527
918	5910	520
919	5916	514
920	5923	508
921	5931	501
922	5938	495
923	5945	489
924	5951	482
925	5957	476
926	5966	469
927	5973	463
928	5992	457
929	5998	451
930	6004	445
931	6009	438
932	6016	432
933	6022	425
934	6028	419
935	6035	412
936	6040	406
937	6046	399
938	6052	393
939	6058	386
940	6065	380
941	6072	373
942	6077	367
943	6083	360
944	6089	354
945	6096	348
946	6102	341
947	6108	335
948	6115	328
949	6132	322
950	6138	316
951	6144	309
952	6151	303
953	6157	296
954	6164	290
955	6169	283
956	6175	277
957	6181	271
958	6187	264
959	6194	258
960	6200	251
961	6205	245
962	6211	238
963	6217	232
964	6223	225
965	6229	219
966	6234	212
967	6241	206
968	6247	199
969	6253	193
970	6260	186
971	6267	180
972	6274	174
973	6281	167
974	6289	161
975	6294	154
976	6299	148
977	6305	141
978	6312	135
979	6318	128
980	6324	122
981	6329	116
982	6335	109
983	6341	103
984	6347	96
985	6357	90
986	6363	83
987	6370	77
988	6375	70
989	6381	64
990	6387	58
991	6392	51
992	6398	45
993	6405	38
994	6410	32
995	6416	25
996	6421	19
997	6426	12
998	6432	6
999	6437	0
